step_width,speed,period,gait,command_df,trials,compliant_trials,finite_energy_compliant_trials,compliance_rate,finite_energy_compliant_rate,median_positive_mechanical_cot
0.4,0.4,0.48,trot,0.75,32,32,32,1.0,1.0,0.24899824459381786
0.4,0.4,0.48,walk,0.5,32,0,0,0.0,0.0,nan
0.4,0.4,0.48,walk,0.55,32,0,0,0.0,0.0,nan
0.4,0.4,0.48,walk,0.6,32,0,0,0.0,0.0,nan
0.4,0.4,0.48,walk,0.65,32,0,0,0.0,0.0,nan
0.4,0.4,0.48,walk,0.7,32,0,0,0.0,0.0,nan
0.4,0.4,0.48,walk,0.75,32,32,32,1.0,1.0,0.36773356867752804
0.5,0.25,0.48,trot,0.5,32,0,0,0.0,0.0,nan
0.5,0.25,0.48,trot,0.55,32,32,32,1.0,1.0,0.26488851234029653
0.5,0.25,0.48,trot,0.6,32,32,32,1.0,1.0,0.26073254883384267
0.5,0.25,0.48,trot,0.65,32,32,32,1.0,1.0,0.2728764195659762
0.5,0.25,0.48,trot,0.7,32,32,32,1.0,1.0,0.28290282674275796
0.5,0.25,0.48,trot,0.75,32,32,32,1.0,1.0,0.2968854835800201
0.5,0.25,0.48,walk,0.5,32,0,0,0.0,0.0,nan
0.5,0.25,0.48,walk,0.55,32,0,0,0.0,0.0,nan
0.5,0.25,0.48,walk,0.6,32,0,0,0.0,0.0,nan
0.5,0.25,0.48,walk,0.65,32,0,0,0.0,0.0,nan
0.5,0.25,0.48,walk,0.7,32,0,0,0.0,0.0,nan
0.5,0.25,0.48,walk,0.75,32,32,32,1.0,1.0,0.541611921633051
0.5,0.3,0.48,trot,0.5,32,0,0,0.0,0.0,nan
0.5,0.3,0.48,trot,0.55,32,32,32,1.0,1.0,0.2457481220265513
0.5,0.3,0.48,trot,0.6,32,32,32,1.0,1.0,0.24308564430967528
0.5,0.3,0.48,trot,0.65,32,32,32,1.0,1.0,0.24855548263053223
0.5,0.3,0.48,trot,0.7,32,32,32,1.0,1.0,0.25715186281443936
0.5,0.3,0.48,trot,0.75,32,32,32,1.0,1.0,0.2776941162295362
0.5,0.3,0.48,walk,0.5,32,0,0,0.0,0.0,nan
0.5,0.3,0.48,walk,0.55,32,0,0,0.0,0.0,nan
0.5,0.3,0.48,walk,0.6,32,0,0,0.0,0.0,nan
0.5,0.3,0.48,walk,0.65,32,0,0,0.0,0.0,nan
0.5,0.3,0.48,walk,0.7,32,0,0,0.0,0.0,nan
0.5,0.3,0.48,walk,0.75,32,32,32,1.0,1.0,0.47860146890814126
0.5,0.35,0.48,trot,0.5,32,0,0,0.0,0.0,nan
