speed,command_df,step_width,period,gait,perturbation_h,references,valid_references,reference_valid_rate,periodic_orbit_gate_pass_rate,command_gate_pass_rate,hybrid_topology_gate_pass_rate,translation_symmetry_gate_pass_rate,numerical_gate_pass_rate,rank_gate_pass_rate,finite_difference_gate_pass_rate,chi_augmented_diagnostic_median,chi_augmented_median,chi_augmented_q025,chi_augmented_q975,chi_physical_conditional_diagnostic_median,chi_physical_conditional_median,chi_physical_conditional_q025,chi_physical_conditional_q975,chi_orbital_physical_diagnostic_median,chi_orbital_physical_median,chi_orbital_physical_q025,chi_orbital_physical_q975,chi_orbital_augmented_diagnostic_median,chi_orbital_augmented_median,chi_orbital_augmented_q025,chi_orbital_augmented_q975
0.3,0.5,0.5,0.48,trot,0.05,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,7.655696255775979,nan,nan,nan,4.907637570875263,nan,nan,nan,4.792503053204591,nan,nan,nan,7.54107263469145,nan,nan,nan
0.3,0.5,0.5,0.48,trot,0.1,8,0,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0.0,6.951488496547155,nan,nan,nan,5.273767967733951,nan,nan,nan,5.0709694230401565,nan,nan,nan,6.809017865544587,nan,nan,nan
0.3,0.625,0.5,0.48,trot,0.025,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.015907760941592,nan,nan,nan,3.343919790105855,nan,nan,nan,3.2809905487239357,nan,nan,nan,3.959849368142975,nan,nan,nan
0.3,0.625,0.5,0.48,trot,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.6160991893812975,nan,nan,nan,3.9579012660903814,nan,nan,nan,3.948500014518708,nan,nan,nan,4.592573748542415,nan,nan,nan
0.3,0.625,0.5,0.48,trot,0.1,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.658965493484203,nan,nan,nan,3.270817350391896,nan,nan,nan,3.238566872280037,nan,nan,nan,3.6322584475071835,nan,nan,nan
0.3,0.75,0.5,0.48,trot,0.025,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.2522546363156573,nan,nan,nan,2.8447107687995294,nan,nan,nan,2.7408725378343144,nan,nan,nan,3.1442174592969723,nan,nan,nan
0.3,0.75,0.5,0.48,trot,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.8408067627219449,nan,nan,nan,1.642008293766983,nan,nan,nan,1.5663619307492285,nan,nan,nan,1.792703446765259,nan,nan,nan
0.3,0.75,0.5,0.48,trot,0.1,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.6292233026863634,nan,nan,nan,1.4302355968724172,nan,nan,nan,1.3600079486016479,nan,nan,nan,1.5418190306014248,nan,nan,nan
0.35,0.5,0.1,0.48,trot,0.025,8,0,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,36.26436698023947,nan,nan,nan,42.882575175725805,nan,nan,nan,42.12526848924635,nan,nan,nan,36.07512670754856,nan,nan,nan
0.35,0.5,0.1,0.48,trot,0.05,8,0,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,26.66865277186912,nan,nan,nan,22.464457936603043,nan,nan,nan,22.192656234976187,nan,nan,nan,26.42269631062927,nan,nan,nan
0.35,0.5,0.1,0.48,trot,0.1,8,0,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,20.098317683165284,nan,nan,nan,16.481321450779554,nan,nan,nan,16.213729166261444,nan,nan,nan,19.86580766808171,nan,nan,nan
0.35,0.625,0.1,0.48,trot,0.025,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,7.846504143246245,nan,nan,nan,6.213223950384989,nan,nan,nan,6.120954833980858,nan,nan,nan,7.77455485723244,nan,nan,nan
0.35,0.625,0.1,0.48,trot,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,16.444558685976478,nan,nan,nan,15.471264979413949,nan,nan,nan,15.43498779998006,nan,nan,nan,16.408260529113413,nan,nan,nan
