speed,command_df,step_width,period,gait,perturbation_h,references,valid_references,reference_valid_rate,periodic_orbit_gate_pass_rate,command_gate_pass_rate,hybrid_topology_gate_pass_rate,translation_symmetry_gate_pass_rate,numerical_gate_pass_rate,rank_gate_pass_rate,finite_difference_gate_pass_rate,chi_augmented_diagnostic_median,chi_augmented_median,chi_augmented_q025,chi_augmented_q975,chi_physical_conditional_diagnostic_median,chi_physical_conditional_median,chi_physical_conditional_q025,chi_physical_conditional_q975,chi_orbital_physical_diagnostic_median,chi_orbital_physical_median,chi_orbital_physical_q025,chi_orbital_physical_q975,chi_orbital_augmented_diagnostic_median,chi_orbital_augmented_median,chi_orbital_augmented_q025,chi_orbital_augmented_q975,condition_valid
0.35,0.5,0.3,0.48,trot,0.05,8,0,0.0,0.875,1.0,1.0,0.0,0.0,1.0,0.0,6.597824508053772,nan,nan,nan,6.551509872283351,nan,nan,nan,6.411397158431942,nan,nan,nan,6.45142327534377,nan,nan,nan,0
0.35,0.625,0.3,0.48,trot,0.05,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.5408770710143127,nan,nan,nan,2.2171852542438937,nan,nan,nan,2.208607400233002,nan,nan,nan,2.5325695638252403,nan,nan,nan,0
0.35,0.75,0.3,0.48,trot,0.05,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.2646546157838374,nan,nan,nan,1.1845618483849716,nan,nan,nan,1.139518285820298,nan,nan,nan,1.2467922312428552,nan,nan,nan,0
0.35,0.5,0.4,0.48,trot,0.05,8,0,0.0,0.625,1.0,1.0,0.0,0.0,1.0,0.0,11.175009251302491,nan,nan,nan,5.494374537979395,nan,nan,nan,5.310217285399003,nan,nan,nan,11.025111928650354,nan,nan,nan,0
0.35,0.625,0.4,0.48,trot,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.3991894981447808,nan,nan,nan,2.8458187775564703,nan,nan,nan,2.773384703232451,nan,nan,nan,3.3249004961812707,nan,nan,nan,0
0.35,0.75,0.4,0.48,trot,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.6464715653635105,nan,nan,nan,1.4372522764783846,nan,nan,nan,1.321529831416157,nan,nan,nan,1.5838030501499218,nan,nan,nan,0
0.35,0.5,0.5,0.48,trot,0.05,8,0,0.0,0.375,1.0,1.0,0.0,0.0,1.0,0.0,33.24802575094783,nan,nan,nan,13.860614183551277,nan,nan,nan,13.456453221254833,nan,nan,nan,32.0386274295952,nan,nan,nan,0
0.35,0.625,0.5,0.48,trot,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.786126607995945,nan,nan,nan,4.063465522438909,nan,nan,nan,4.052639595453289,nan,nan,nan,4.775101139567082,nan,nan,nan,0
0.35,0.75,0.5,0.48,trot,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0254390593739124,nan,nan,nan,1.768790191191564,nan,nan,nan,1.736778574662083,nan,nan,nan,1.975555827797468,nan,nan,nan,0
0.4,0.5,0.1,0.48,trot,0.05,8,0,0.0,0.375,1.0,0.0,0.0,0.0,1.0,0.0,25.85522722057528,nan,nan,nan,22.31157599917212,nan,nan,nan,22.072514495041155,nan,nan,nan,25.662374229649537,nan,nan,nan,0
0.4,0.625,0.1,0.48,trot,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,14.226489239839673,nan,nan,nan,13.028375683991229,nan,nan,nan,12.983883653328832,nan,nan,nan,14.182804738724418,nan,nan,nan,0
0.4,0.75,0.1,0.48,trot,0.05,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.8230362089364958,nan,nan,nan,3.3389199240921394,nan,nan,nan,3.316837222544608,nan,nan,nan,3.803803284966509,nan,nan,nan,0
0.4,0.5,0.2,0.48,trot,0.05,8,0,0.0,0.25,1.0,0.0,0.0,0.0,1.0,0.0,17.14282800093706,nan,nan,nan,14.532390581600286,nan,nan,nan,14.389771873781417,nan,nan,nan,16.962697383944917,nan,nan,nan,0
0.4,0.625,0.2,0.48,trot,0.05,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.325161038738827,nan,nan,nan,2.8937242509824577,nan,nan,nan,2.885012569364968,nan,nan,nan,3.3182268335933744,nan,nan,nan,0
