gait,speed,period,step_width,command_df,trials,energy_valid_rate,energy_condition_valid,positive_mechanical_cot_median,positive_mechanical_cot_median_all,periodic_rate,compliance_rate
trot,0.35,0.48,0.3,0.75,32,1.0,1,0.30343996960121644,0.30343996960121644,1.0,1.0
trot,0.35,0.48,0.4,0.5,32,1.0,1,0.2254318442809603,0.2254318442809603,1.0,1.0
trot,0.35,0.48,0.4,0.625,32,1.0,1,0.23821214882621572,0.23821214882621572,1.0,1.0
trot,0.35,0.48,0.4,0.75,32,1.0,1,0.31620812163238354,0.31620812163238354,1.0,1.0
trot,0.35,0.48,0.5,0.5,32,1.0,1,0.26528713047274266,0.26528713047274266,1.0,1.0
trot,0.35,0.48,0.5,0.625,32,1.0,1,0.25469729407771735,0.25469729407771735,1.0,1.0
trot,0.35,0.48,0.5,0.75,32,1.0,1,0.32751586862391485,0.32751586862391485,1.0,1.0
trot,0.35,0.54,0.1,0.5,32,0.0,0,,0.15610172936197236,0.65625,0.0
trot,0.35,0.54,0.1,0.625,32,1.0,1,0.2096729076058531,0.2096729076058531,1.0,1.0
trot,0.35,0.54,0.1,0.75,32,1.0,1,0.33018400150101723,0.33018400150101723,1.0,1.0
trot,0.35,0.54,0.2,0.5,32,0.0,0,,0.17371889896289205,1.0,0.0
trot,0.35,0.54,0.2,0.625,32,1.0,1,0.22135438221030407,0.22135438221030407,1.0,1.0
trot,0.35,0.54,0.2,0.75,32,1.0,1,0.3352865440233236,0.3352865440233236,1.0,1.0
trot,0.35,0.54,0.3,0.5,32,0.0,0,,0.19908436623664613,1.0,0.0
trot,0.35,0.54,0.3,0.625,32,1.0,1,0.2254093899256198,0.2254093899256198,1.0,1.0
trot,0.35,0.54,0.3,0.75,32,1.0,1,0.3378173823142874,0.3378173823142874,1.0,1.0
trot,0.35,0.54,0.4,0.5,32,0.0,0,,0.22296994775386533,0.15625,0.0
trot,0.35,0.54,0.4,0.625,32,1.0,1,0.24339408367382095,0.24339408367382095,1.0,1.0
trot,0.35,0.54,0.4,0.75,32,1.0,1,0.3358168771126327,0.3358168771126327,1.0,1.0
trot,0.35,0.54,0.5,0.5,32,0.0,0,,0.2612272363233925,0.8125,0.0
trot,0.35,0.54,0.5,0.625,32,0.96875,1,0.26540631263347925,0.26541236500072773,0.96875,1.0
trot,0.35,0.54,0.5,0.75,32,1.0,1,0.33699546833633043,0.33699546833633043,1.0,1.0
trot,0.4,0.36,0.1,0.5,32,0.0,0,,0.17890848350689947,1.0,0.0
trot,0.4,0.36,0.1,0.625,32,1.0,1,0.22622037314937132,0.22622037314937132,1.0,1.0
trot,0.4,0.36,0.2,0.5,32,0.0,0,,0.1871921220419714,1.0,0.0
trot,0.4,0.36,0.2,0.625,32,1.0,1,0.22721686309643396,0.22721686309643396,1.0,1.0
trot,0.4,0.36,0.3,0.5,32,0.0,0,,0.20036339796623293,1.0,0.0
trot,0.4,0.36,0.3,0.625,32,1.0,1,0.2315143019505208,0.2315143019505208,1.0,1.0
trot,0.4,0.36,0.4,0.5,32,0.0,0,,0.22041233357965284,1.0,0.0
trot,0.4,0.36,0.4,0.625,32,1.0,1,0.24950775236589273,0.24950775236589273,1.0,1.0
trot,0.4,0.36,0.5,0.5,32,0.0,0,,0.2721631788228606,1.0,0.0
trot,0.4,0.36,0.5,0.625,32,1.0,1,0.2731300746775657,0.2731300746775657,1.0,1.0
trot,0.4,0.4,0.1,0.5,32,0.0,0,,0.16297630554508596,0.0,0.0
trot,0.4,0.4,0.1,0.625,32,1.0,1,0.2230035182262209,0.2230035182262209,1.0,1.0
trot,0.4,0.4,0.1,0.75,32,1.0,1,0.2794649849592291,0.2794649849592291,1.0,1.0
trot,0.4,0.4,0.2,0.5,32,0.0,0,,0.17692673229307998,1.0,0.0
trot,0.4,0.4,0.2,0.625,32,1.0,1,0.2183383467172475,0.2183383467172475,1.0,1.0
trot,0.4,0.4,0.2,0.75,32,1.0,1,0.27732737798408014,0.27732737798408014,1.0,1.0
trot,0.4,0.4,0.3,0.5,32,0.0,0,,0.18401428571711226,1.0,0.0
trot,0.4,0.4,0.3,0.625,32,1.0,1,0.22489695382860364,0.22489695382860364,1.0,1.0
trot,0.4,0.4,0.3,0.75,32,1.0,1,0.2832059113445378,0.2832059113445378,1.0,1.0
trot,0.4,0.4,0.4,0.5,32,0.0,0,,0.22683854824156222,1.0,0.0
trot,0.4,0.4,0.4,0.625,32,1.0,1,0.24428070227768645,0.24428070227768645,1.0,1.0
trot,0.4,0.4,0.4,0.75,32,1.0,1,0.2998546511971584,0.2998546511971584,1.0,1.0
trot,0.4,0.4,0.5,0.5,32,0.0,0,,0.26180715973662716,1.0,0.0
trot,0.4,0.4,0.5,0.625,32,1.0,1,0.2582723746286652,0.2582723746286652,1.0,1.0
trot,0.4,0.4,0.5,0.75,32,1.0,1,0.324737856260643,0.324737856260643,1.0,1.0
trot,0.4,0.48,0.1,0.5,32,0.0,0,,0.15443489178435812,0.0,0.0
trot,0.4,0.48,0.1,0.625,32,1.0,1,0.19848131606204297,0.19848131606204297,1.0,1.0
trot,0.4,0.48,0.1,0.75,32,1.0,1,0.29674881092841465,0.29674881092841465,1.0,1.0
trot,0.4,0.48,0.2,0.5,32,1.0,1,0.17253931731366426,0.17253931731366426,1.0,1.0
trot,0.4,0.48,0.2,0.625,32,1.0,1,0.2015587799179776,0.2015587799179776,1.0,1.0
trot,0.4,0.48,0.2,0.75,32,1.0,1,0.29771291424006685,0.29771291424006685,1.0,1.0
trot,0.4,0.48,0.3,0.5,32,1.0,1,0.1846322523280188,0.1846322523280188,1.0,1.0
