gait,policy,condition,period,speed,step_width,command_df,trials,success,failure,timeout,success_rate,ci_low,ci_high,mean_travel_m,mean_end_time_s
trot,base,perturbed,0.48,0.30,0.3,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.002877123653889,13.5478125
trot,base,perturbed,0.48,0.30,0.4,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.003458961844444,12.958437500000002
trot,base,perturbed,0.48,0.30,0.4,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.00273647159338,13.262812499999999
trot,base,perturbed,0.48,0.30,0.4,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.002942569553852,13.439062500000002
trot,base,perturbed,0.48,0.30,0.5,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.003098711371422,13.0475
trot,base,perturbed,0.48,0.30,0.5,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.003603912889957,13.1796875
trot,base,perturbed,0.48,0.30,0.5,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.003188021481037,13.4390625
trot,base,perturbed,0.48,0.35,0.1,0.5,64,6,58,0,0.09375,0.04367765783128784,0.1898309858327767,2.8162558637559414,8.156875
trot,base,perturbed,0.48,0.35,0.1,0.625,64,9,55,0,0.140625,0.07578487006414436,0.24616508394637426,3.1416558641940355,9.423437499999999
trot,base,perturbed,0.48,0.35,0.1,0.75,64,25,39,0,0.390625,0.28055388546896454,0.5130830570559759,3.4501616191118956,10.528437499999999
trot,base,perturbed,0.48,0.35,0.2,0.5,64,59,5,0,0.921875,0.8298024712135222,0.9661693219045645,3.958997204899788,11.305
trot,base,perturbed,0.48,0.35,0.2,0.625,64,61,3,0,0.953125,0.8710013921145747,0.9839312745678148,3.9740144312381744,11.514375000000001
trot,base,perturbed,0.48,0.35,0.2,0.75,64,63,1,0,0.984375,0.9166570109970937,0.9972365292495986,3.984753780066967,11.6409375
trot,base,perturbed,0.48,0.35,0.3,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.00337153673172,11.225625
trot,base,perturbed,0.48,0.35,0.3,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.003299213945866,11.497187499999999
trot,base,perturbed,0.48,0.35,0.3,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.003294415771961,11.634062500000002
trot,base,perturbed,0.48,0.35,0.4,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.004099480807781,11.2534375
trot,base,perturbed,0.48,0.35,0.4,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.004020228981972,11.485
trot,base,perturbed,0.48,0.35,0.4,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.003986068069935,11.548124999999999
trot,base,perturbed,0.48,0.35,0.5,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.003708153963089,11.27
trot,base,perturbed,0.48,0.35,0.5,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.003942251205444,11.399999999999999
trot,base,perturbed,0.48,0.35,0.5,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.003622367978096,11.588437499999998
trot,base,perturbed,0.48,0.40,0.1,0.5,64,6,58,0,0.09375,0.04367765783128784,0.1898309858327767,3.0502295922487974,7.800625
trot,base,perturbed,0.48,0.40,0.1,0.625,64,17,47,0,0.265625,0.17296238569537764,0.38483106257235195,3.315478974953294,8.5725
trot,base,perturbed,0.48,0.40,0.1,0.75,64,31,33,0,0.484375,0.36633348565783896,0.6041860775600096,3.682683229446411,9.7259375
trot,base,perturbed,0.48,0.40,0.2,0.5,64,61,3,0,0.953125,0.8710013921145747,0.9839312745678148,3.9746176078915596,10.06375
trot,base,perturbed,0.48,0.40,0.2,0.625,64,61,3,0,0.953125,0.8710013921145747,0.9839312745678148,3.9825239405035973,10.13375
trot,base,perturbed,0.48,0.40,0.2,0.75,64,63,1,0,0.984375,0.9166570109970937,0.9972365292495986,3.9914050176739693,10.208124999999999
trot,base,perturbed,0.48,0.40,0.3,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.0041221752762794,9.96125
trot,base,perturbed,0.48,0.40,0.3,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.004108585417271,10.135625000000001
trot,base,perturbed,0.48,0.40,0.3,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.003752462565899,10.165937500000002
trot,base,perturbed,0.48,0.40,0.4,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.004183709621429,9.9528125
trot,base,perturbed,0.48,0.40,0.4,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.0036769062280655,10.11375
trot,base,perturbed,0.48,0.40,0.4,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.003899849951267,10.1021875
trot,base,perturbed,0.48,0.40,0.5,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.00397352129221,9.9175
trot,base,perturbed,0.48,0.40,0.5,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.004478812217712,10.0275
trot,base,perturbed,0.48,0.40,0.5,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.004185192286968,10.1625
trot,base,perturbed,0.54,0.30,0.1,0.5,64,1,63,0,0.015625,0.0027634707504014047,0.08334298900290629,2.2434701547026634,7.471875000000001
trot,base,perturbed,0.54,0.30,0.1,0.625,64,2,62,0,0.03125,0.00861195771251659,0.10697493882294247,2.46285349316895,8.7553125
trot,base,perturbed,0.54,0.30,0.1,0.75,64,9,55,0,0.140625,0.07578487006414436,0.24616508394637426,2.9761277474462986,10.788125
trot,base,perturbed,0.54,0.30,0.2,0.5,64,49,15,0,0.765625,0.6486650974929234,0.8525023278036498,3.8466449975967407,12.774687499999999
trot,base,perturbed,0.54,0.30,0.2,0.625,64,53,11,0,0.828125,0.7178655850983409,0.9012235873268377,3.887611858546734,13.1809375
trot,base,perturbed,0.54,0.30,0.2,0.75,64,63,1,0,0.984375,0.9166570109970937,0.9972365292495986,3.977218836545944,13.420312500000001
trot,base,perturbed,0.54,0.30,0.3,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.0033667758107185,13.0675
trot,base,perturbed,0.54,0.30,0.3,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.003161698579788,13.3475
trot,base,perturbed,0.54,0.30,0.3,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.0032325610518456,13.3721875
trot,base,perturbed,0.54,0.30,0.4,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.0035489201545715,13.054375
trot,base,perturbed,0.54,0.30,0.4,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.003429017961025,13.252500000000001
trot,base,perturbed,0.54,0.30,0.4,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.003294058144093,13.322812500000001
trot,base,perturbed,0.54,0.30,0.5,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.002836957573891,13.0234375
trot,base,perturbed,0.54,0.30,0.5,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.00331387668848,13.095625
trot,base,perturbed,0.54,0.30,0.5,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.0031545758247375,13.3315625
trot,tuned,nominal,0.36,0.30,0.1,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.003218963742256,12.29625
trot,tuned,nominal,0.36,0.30,0.1,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.00345054268837,12.816562499999998
trot,tuned,nominal,0.36,0.30,0.2,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.004465714097023,12.6953125
trot,tuned,nominal,0.36,0.30,0.2,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.002614989876747,13.082187499999998
trot,tuned,nominal,0.36,0.30,0.3,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.002787910401821,12.69875
